0;tWBhikGAFh;2023-04-24;225.6617751976818
1;pplwFZyypg;2023-04-24;341.17484820645404
2;rZNENEovuV;2023-04-24;358.2823517698907
3;ADJBYHYXLJ;2023-04-24;193.1960962042653
4;aiJzuGBosn;2023-04-24;414.8803623619506
5;svMxhiObLH;2023-04-24;897.8917960821155
6;lfreuJiQZJ;2023-04-24;389.49158292989875
7;pxDawQMeai;2023-04-24;795.0033041847813
8;QrPGDgUoZX;2023-04-24;103.1967661834884
9;eduukGcVvy;2023-04-24;604.5767207204526
10;yJLrZzPvRW;2023-04-24;775.64122946906
11;VTJKAtAcGt;2023-04-24;918.1736482681812
12;zksXRGiVde;2023-04-24;226.07017840795433
13;cJXOQmxTZs;2023-04-24;313.7514194004734
14;zgWObdnTUS;2023-04-24;619.7623788801236
15;PZDoeIhshT;2023-04-24;730.75595071035
16;jOlypusKDd;2023-04-24;135.3647510182234
17;HpiqpbzSRR;2023-04-24;513.2578621222035
18;ukdxDFDqgq;2023-04-24;358.06384215882883
19;bomyfgkCFA;2023-04-24;280.23256428763534
20;nVlEDQFeXY;2023-04-24;302.6785239699957
21;DBtRLjcXxv;2023-04-24;795.2739698331306
22;JKVgJKTUwH;2023-04-24;299.6610978450183
23;MqdVfeMbai;2023-04-24;585.8453513929767
24;PVcuZMRGmm;2023-04-24;379.0815207618617
25;LpMiyTsnPv;2023-04-24;291.328093972232
26;WZRSMUeYeh;2023-04-24;297.014300449549
27;xIEpTbCvYN;2023-04-24;620.6154632503631
28;aotHKLABkD;2023-04-24;349.30965531913495
29;VcqsqppIaE;2023-04-24;682.315621678343
30;wwnabPtZHS;2023-04-24;681.6142818705488
31;bAjCaVXlJF;2023-04-24;945.0408179274625
32;SSueOryTBR;2023-04-24;331.20462192516527
33;wLcIXrBRZA;2023-04-24;987.0528571540724
34;PLWgagMkXv;2023-04-24;816.8403763632512
35;ImHJiGtXPE;2023-04-24;143.2532974941571
36;BtNPYpuIOJ;2023-04-24;319.46429904699147
37;cHwkjAwPPM;2023-04-24;712.2171520750903
38;ZBQevtRODk;2023-04-24;817.3282294356912
39;kjoDCfxNSY;2023-04-24;252.49688893784025
40;yDASGDtmpl;2023-04-24;529.5737638005703
41;dggKLFNUHd;2023-04-24;505.6171964933216
42;zVRWtTmbyC;2023-04-24;824.6324624061151
43;HqoyKGWBoY;2023-04-24;433.14821317495336
44;RxlHlguxmi;2023-04-24;468.1238938920048
45;NkwJIKhfxJ;2023-04-24;897.6126308446277
46;MmoSyrHJvR;2023-04-24;356.44619708891975
47;bgBbziKFGH;2023-04-24;161.14247076697055
48;WOvPkaovaS;2023-04-24;350.59294297032193
49;TOJtDXueyY;2023-04-24;487.1602235148079
